peak_id,chr,start,end,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
10402,12,33032293,33051654,3463.89360057198,-2.60522816751544,0.0574973517754797,-45.3104027762626,0.0,0.0
26364,2,27130799,27157085,6044.10213905509,1.67081194322156,0.0414180816926366,40.3401576060582,0.0,0.0
43748,7,140979872,140993985,2967.30247823057,-3.00702505564165,0.0653151952365127,-46.0386751467697,0.0,0.0
46925,9,49481054,49495322,2840.52850756242,3.40848473071426,0.0693682851779947,49.1360673248345,0.0,0.0
11064,12,81017289,81020891,1413.2096676783,-4.80256504852338,0.128645616098056,-37.3317427689317,5.015798832501551e-305,4.9938296336151894e-301
43742,7,140941129,140961739,3094.33287263459,-2.3141337285948,0.0630149531941779,-36.7235649840744,3.07264801408405e-295,2.5493248464853003e-291
43655,7,140185747,140219110,7991.40290037695,-1.23542047658031,0.0365295218781016,-33.8197822764527,1.00977444467095e-250,7.181083090023499e-247
3797,1,193119772,193127080,1900.82757855445,2.65627873560205,0.0800022807793363,33.2025375992548,9.89488813146087e-242,6.157217825903169e-238
29128,2,163220970,163242733,2379.62393498833,-2.286030725252,0.0713659410847535,-32.0325170593229,3.84608685644078e-225,2.1273561088942098e-221
43610,7,139270418,139300973,8943.71654657646,-1.10168369950196,0.0349568987921277,-31.5154872877356,5.32975912510003e-218,2.6532073900660503e-214
28204,2,119349721,119353868,2113.5617162834,-2.19044321273746,0.0697862541223968,-31.3878892094664,2.9605043335244095e-216,1.3397896929743502e-212
5650,10,91945704,91955708,972.407130650901,-3.39225449538516,0.116602279812427,-29.0925228978554,4.46349649895007e-186,1.85164432678528e-182
41575,7,45623835,45629397,1367.46916749656,-2.6545293730005,0.0916695000712832,-28.9576071750834,2.25091580106821e-184,8.619449191767431e-181
18105,15,88545646,88556015,1681.02553385629,2.33080325517792,0.0806919301403533,28.8852088569921,1.83145492020581e-183,6.512261241626099e-180
2386,1,144497971,144502749,988.615027304137,-3.20480830567293,0.112504516166483,-28.4860414041557,1.7444424428676498e-178,5.7893392832263e-175
29140,2,163315684,163326843,1220.83244411047,-2.81392372219389,0.100469581592082,-28.0077181332231,1.30859787252731e-172,4.0714569182676304e-169
26487,2,29533809,29555220,5289.72513754377,1.20223362521187,0.0431053428410741,27.8905942041664,3.46969287291286e-171,1.01602812297927e-167
25354,19,41759133,41777181,3441.6540400698,1.4341714397869,0.0526837206966513,27.2222884189359,3.53850545384886e-163,9.78612999989167e-160
43751,7,141002393,141012847,980.592804521079,-2.94678029321717,0.108469279221408,-27.166957449788,1.59656327120571e-162,4.18307980020481e-159
14181,13,117207478,117219674,1575.27397907178,-2.18911024068912,0.0806656319538888,-27.1380783570938,3.50101934401355e-162,8.71421219821693e-159
46782,9,45178422,45214067,6284.90333130328,1.09406059544798,0.0403600122246006,27.107538752952,8.02448055238547e-162,1.9022222208490498e-158
37996,5,139414957,139425750,1777.90791872296,2.09347522211476,0.0784598931658647,26.6821064577431,7.59334982499152e-157,1.71820248926319e-153
12010,12,111453317,111482668,6913.61179944781,1.06453699285231,0.0403591143228416,26.3766192770445,2.54160413109126e-153,5.50102588042844e-150
5577,10,85407356,85413275,775.152572687615,3.72744227874285,0.142115307499294,26.2282954899941,1.2643122783937901e-151,2.62244706378005e-148
5279,10,78113906,78160414,11723.8443506853,0.853504346586648,0.0325482246865041,26.2227619112064,1.4620795048993502e-151,2.91135119333577e-148
21574,17,30344007,30350845,1083.30629816878,2.5430801135037,0.0971723789848193,26.1708125299782,5.7129980255777806e-151,1.0938413642741799e-147
26365,2,27157684,27183113,4405.83763812121,1.24394422279592,0.0482326919966566,25.7904788495353,1.13397524990279e-146,2.09075636723743e-143
3814,1,193538824,193553730,5780.93735456974,1.05375243701631,0.0411371287499587,25.6156049057596,1.0223814952521101e-144,1.81768475768376e-141
21934,17,43666218,43674222,1045.13484460085,-2.58179288637074,0.101037988014412,-25.5526949527387,5.1247608593001703e-144,8.79709380471799e-141
12176,13,6631731,6639426,1281.07873605472,-2.26054599260875,0.0885347452836144,-25.5328683147759,8.510368110985691e-144,1.4121821164432598e-140
36969,5,106890658,106893900,771.029494991909,3.19796385268042,0.125580488944016,25.4654515169635,4.7607614664085605e-143,7.6450150502995e-140
7517,11,59917660,59949605,7311.48708326458,0.953325237445482,0.0374819712810443,25.43423424284,1.05497821445334e-142,1.64118345292817e-139
29936,2,180093300,180102890,4184.17252366459,1.25311365922271,0.049603139687648,25.2627891523318,8.19525688490044e-141,1.23626691814312e-137
22883,17,84133457,84169007,12674.3359286925,0.764349788652154,0.0302657982056628,25.2545722884369,1.00888110863085e-140,1.47715030790449e-137
7510,11,59878216,59887102,1366.57876700777,2.082265629678,0.083177036821243,25.0341405423353,2.5987363185761298e-138,3.69621979071539e-135
19173,16,23172303,23183467,3923.91279720101,-1.28962121454823,0.0518129887166515,-24.8899213593093,9.565884521377849e-137,1.32277582599642e-133
1984,1,133395863,133405356,3123.43090121583,1.35638758791128,0.0549946818194169,24.6639773708515,2.60580140374206e-134,3.50592972107253e-131
45676,8,121616218,121627638,1498.92640215231,1.91211269426272,0.0784975295081427,24.3588900981192,4.66700368432713e-131,6.113897642354979e-128
3357,1,183167672,183197845,5953.84343379331,1.03763815453746,0.0426947988925328,24.3036196785772,1.7949816536010499e-130,2.29117901789523e-127
